CondCookieId,CondEpisodeId,CondPetId,CondStageNum,CondTimeEnd,CondTimeStart,Id_1,Id_2,Id_3,Id_4,Id_5,ResultIcon,SubKey_1,SubKey_2,SubKey_3,SubKey_4,SubKey_5,Value_1,Value_2,Value_3,Value_4,Value_5,_key
0,0,0,0,2014-08-25 23:59:59,2014-08-11 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1
0,502,0,1,0,0,5001,5003,5010,5011,,0,0,0,0,0,,30,1,1,1,,10
0,502,0,46,0,0,5001,5003,5010,5011,,0,0,0,0,0,,40,1,1,1,,100
107201,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1001
107201,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1002
107201,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1003
107201,4,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1004
107201,5,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1005
107202,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1006
107202,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1007
107202,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1008
107202,4,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1009
0,502,0,46,0,0,5013,5014,1177,,,0,0,0,0,,,1,1,1,,,101
107202,5,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1010
107203,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1011
107203,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1012
107203,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1013
107203,4,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1014
107203,5,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1015
107204,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1016
107204,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1017
107204,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1018
107204,4,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1019
0,502,0,47,0,0,5001,5003,5010,5011,,0,0,0,0,0,,40,1,1,1,,102
107204,5,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1020
107205,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1021
107205,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1022
107205,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1023
107205,4,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1024
107205,5,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1025
107206,1,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1026
107206,2,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1027
107206,3,0,,2024-05-12 23:59:59,2024-05-04 00:00:01,1004,1005,,,,result_event1.png,0,0,,,,1100,1100,,,,1028
