CollisionHeight,CollisionOriginX,CollisionOriginY,CollisionWidth,Id_1,Id_2,Id_3,Id_4,Id_5,Id_6,Id_7,JellyAni,JellyAniinfoFile,JellyChar,JellyGetSound,JellyMakeSound,JellyName,JellyScore,JellySpriteFrame,JellyTextureFile,JellyTypeGroup,MagnetTypeId,NameEffectId,StarEffectId,StatisticsSetting,SubKey_1,SubKey_2,SubKey_3,SubKey_4,SubKey_5,SubKey_6,SubKey_7,ToolDesc,ToolImage,TouchTypeId,UnlockedDescription,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,_key
,,,,1500,,,,,,,item00_house0,item00_house_aniiinfo.plist,,SoundEff_GetItemJelly,,House Jelly,26,,playing_jelly.png,0,0,0,0,0,,,,,,,,,ToolImage,0,보통의 젤리,77,,,,,,,4000
,,,,1502,,,,,,,item02_fever0,item02_fever_aniinfo.plist,C,SoundEff_GetItemJelly,,BonusTime Jelly,663,item02_fever_0.png,playing_jelly.png,0,0,102,2,0,,,,,,,,,item02_fever_0.png,0,보너스타임 직행 아이템,1,,,,,,,402
,,,,1503,,,,,,,item03_invincible0,item03_invincible_aniinfo.plist,D,SoundEff_GetItemJelly,,Blast Jelly,432.90000000000003,item03_invincible_0.png,playing_jelly.png,0,0,103,8,0,403,,,,,,,,item03_invincible_0.png,0,광속질주 아이템(빠른 속도로 무적으로 달려감),2200,,,,,,,403
,,,,1503,,,,,,,item04_biggest0,item04_biggest_aniinfo.plist,E,SoundEff_GetItemJelly,,Giant Jelly,432.90000000000003,item04_biggest_0.png,playing_jelly.png,0,0,104,3,0,404,,,,,,,,item04_biggest_0.png,0,거대화 아이템(크기가 커져서 무적으로 걸어감),3400,,,,,,,404
,,,,1503,,,,,,,item05_magnet0,item05_magnet_aniinfo.plist,F,SoundEff_GetItemJelly,,Magnet Jelly,432.90000000000003,item05_magnet_0.png,playing_jelly.png,0,0,105,5,0,405,,,,,,,,item05_magnet_0.png,0,자석 아이템(펫이 앞으로 나아가 젤리를 먹어줌),2800,,,,,,,405
,,,,1504,,,,,,,item06_coin0,item06_coin_aniinfo.plist,G,SoundEff_GetItemJelly,,Obstacle Coin Jelly,432.90000000000003,item06_coin_0.png,playing_jelly.png,0,0,106,7,0,,,,,,,,,item06_coin_0.png,0,코인매직 아이템(장애물을 코인으로 변환시켜줌),1,,,,,,,406
,,,,1552,1552,1552,1552,1552,,,item07_sjelly0,item07_sjelly_aniinfo.plist,H,SoundEff_GetItemJelly,,All-Bear Jelly,432.90000000000003,item07_sjelly_0.png,playing_jelly.png,0,0,107,8,0,1,2,3,4,5,,,,item07_sjelly_0.png,0,곰젤리파티 아이템(일반젤리들이 곰젤리로 변환됨),503,3400,0,601,4,,,407
,,,,1501,,,,,,,item08_energy0,item08_energy_aniinfo.plist,M,SoundEff_Small_Energy,,Small Energy Jelly,432.90000000000003,item08_energy_0.png,playing_jelly.png,0,0,101,5,1,,,,,,,,5,item08_energy_0.png,0,체력회복물약(소),10,,,,,,,408
,,,,1501,,,,,,,item09_bigenergy0,item09_bigenergy_aniinfo.plist,N,SoundEff_Large_Energy,,Large Energy Jelly,432.90000000000003,item09_bigenergy_0.png,playing_jelly.png,0,0,101,208,1,,,,,,,,40,item09_bigenergy_0.png,0,체력회복물약(대),40,,,,,,,409
,,,,1501,,,,,,,item09_bigenergy0,item09_bigenergy_aniinfo.plist,,SoundEff_GetItemJelly,,Very Large Energy Jelly,432.90000000000003,item09_bigenergy_0.png,playing_jelly.png,0,0,101,208,0,,,,,,,,60,item09_bigenergy_0.png,0,체력회복물약(특대),60,,,,,,,410
,,,,1501,1503,,,,,,,,,SoundEff_GetItemJelly,,Pizza Jelly,34,ch21_jelly1.png,playing_jelly.png,0,0,0,2,0,,404,,,,,,,,0,사용하지 않는 젤리,10,1000,,,,,,4101
,,,,,,,,,,,,,,SoundEff_GetJelly,,StarBullet Jelly 1,5000,ch21_jelly1.png,playing_jelly.png,5,0,0,1,0,,,,,,,,,,0,[쿠키] 특전사맛 쿠키가 쏘는 별사탕 젤리 1,,,,,,,,4102
,,,,,,,,,,,,,,SoundEff_GetJelly,,StarBullet Jelly 2,5000,ch21_jelly2.png,playing_jelly.png,5,0,0,1,0,,,,,,,,,,0,[쿠키] 특전사맛 쿠키가 쏘는 별사탕 젤리 2,,,,,,,,4103
,,,,,,,,,,,,,,SoundEff_GetJelly,,StarBullet Jelly 3,5000,ch21_jelly3.png,playing_jelly.png,5,0,0,1,0,,,,,,,,,,0,[쿠키] 특전사맛 쿠키가 쏘는 별사탕 젤리 3,,,,,,,,4104
