limited_reward1_image,limited_reward1_level,limited_reward2_image,limited_reward2_level,package_description,plist_name,purchase_bg_image,purchase_description,title,_key
crcu_partyrun_pass_reward_season_001-1_01.png,3,crcu_partyrun_pass_reward_season_001-1_02.png,15,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,$PartyRunPassPurchaseInfo.beta1.title,1
crcu_partyrun_pass_reward_season_008_tr.png,3,crcu_partyrun_pass_reward_season_008_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Season 8,10
crcu_partyrun_pass_reward_season_001-2_01.png,3,crcu_partyrun_pass_reward_season_001-2_02.png,20,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,$PartyRunPassPurchaseInfo.beta2.title,2
crcu_partyrun_pass_reward_season_001_tr.png,3,crcu_partyrun_pass_reward_season_001_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,$PartyRunPassPurchaseInfo.1.title,3
crcu_partyrun_pass_reward_season_002_tr.png,3,crcu_partyrun_pass_reward_season_002_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Standard Season 2,4
crcu_partyrun_pass_reward_season_003_tr.png,3,crcu_partyrun_pass_reward_season_003_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Standard Season 3,5
crcu_partyrun_pass_reward_season_004_tr.png,3,crcu_partyrun_pass_reward_season_004_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Standard Season 4,6
crcu_partyrun_pass_reward_season_005_tr.png,3,crcu_partyrun_pass_reward_season_005_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Season 5,7
crcu_partyrun_pass_reward_season_006_tr.png,3,crcu_partyrun_pass_reward_season_006_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Season 6,8
crcu_partyrun_pass_reward_season_007_tr.png,3,crcu_partyrun_pass_reward_season_007_jellyskin.png,24,Get the Pass and claim season-exclusive rewards!,crcu_partyrun_pass.plist,crcu_partyrun_pass_popup_back.png,* Gather Pass Points to get a limited Crystal Power+ Treasure and Jelly shape!,Season 7,9
