UnlockId,activity_pointA,activity_pointB,bonus_qty,contentsVersion,group_seq,imageTag,item_id,moneyTypeA,moneyTypeB,money_stuff_seqA,money_stuff_seqB,priceA,priceB,qty,related_stuff_seq,slotPriority,stuffStatus,stuffType,stuff_name,tag,_key
0,0,0,0,0,2000101,mt_00_1_01,,1,1,0,0,500,0,1,0,0,1,M,Timber Board,1,2000101
0,0,0,0,0,2000102,mt_00_1_02,,1,1,0,0,500,0,1,0,0,1,M,Simple Soil,1,2000102
0,0,0,0,0,2000103,mt_00_1_03,,1,1,0,0,500,0,1,0,0,1,M,Rice Flour,1,2000103
0,0,0,0,0,2000104,mt_00_1_04,,1,1,0,0,500,0,1,0,0,1,M,Picked Cherry Stem,1,2000104
0,0,0,0,0,2000105,mt_00_1_05,,1,1,0,0,500,0,1,0,0,1,M,Pastry Crumbs,1,2000105
0,0,0,0,0,2000201,mt_00_2_01,,1,1,0,0,1000,0,1,0,0,1,M,Dandelion Seeds,1,2000201
0,0,0,0,0,2000202,mt_00_2_02,,1,1,0,0,1000,0,1,0,0,1,M,3-Leaf Clover,1,2000202
0,0,0,0,0,2000203,mt_00_2_03,,1,1,0,0,1000,0,1,0,0,1,M,Sturdy Stone,1,2000203
0,0,0,0,0,2000301,mt_00_3_01,,1,1,0,0,2000,0,1,0,0,1,M,Magic Stone Shard,1,2000301
0,0,0,0,0,2001101,mt_n1_1_01,,1,1,0,0,500,0,1,0,0,1,M,Real Wasabi,1,2001101
0,0,0,0,0,2001102,mt_n1_1_02,,1,1,0,0,500,0,1,0,0,1,M,Fuzzy Mold,1,2001102
0,0,0,0,0,2001103,mt_n1_1_03,,1,1,0,0,500,0,1,0,0,1,M,Sugar Cube,1,2001103
0,0,0,0,0,2001104,mt_n1_1_04,,1,1,0,0,500,0,1,0,0,1,M,Dry Pine Cone,1,2001104
0,0,0,0,0,2001105,mt_n1_1_05,,1,1,0,0,500,0,1,0,0,1,M,Dew Drop on a Petal,1,2001105
0,0,0,0,0,2001201,mt_n1_2_01,,1,1,0,0,1000,0,1,0,0,1,M,The Last Strawberry,1,2001201
0,0,0,0,0,2001202,mt_n1_2_02,,1,1,0,0,1000,0,1,0,0,1,M,Hedgehog Spike,1,2001202
0,0,0,0,0,2001203,mt_n1_2_03,,1,1,0,0,1000,0,1,0,0,1,M,Hollow Pumpkin,1,2001203
0,0,0,0,0,2001204,mt_n1_2_04,,1,1,0,0,1000,0,1,0,0,1,M,Shiny Snail's Shell,1,2001204
0,0,0,0,0,2001205,mt_n1_2_05,,1,1,0,0,1000,0,1,0,0,1,M,Dried Bat Wing,1,2001205
0,0,0,0,0,2001301,mt_n1_3_01,,1,1,0,0,2000,0,1,0,0,1,M,Witch's Scented Oil,1,2001301
0,0,0,0,0,2001302,mt_n1_3_02,,1,1,0,0,2000,0,1,0,0,1,M,Tickly Cat Whiskers,1,2001302
0,0,0,0,0,2001303,mt_n1_3_03,,1,1,0,0,2000,0,1,0,0,1,M,Rainbow Earthworm,1,2001303
0,0,0,0,0,2001304,mt_n1_3_04,,1,1,0,0,2000,0,1,0,0,1,M,Honey Pumpkin,1,2001304
0,0,0,0,0,2001305,mt_n1_3_05,,1,1,0,0,2000,0,1,0,0,1,M,Venom Toad's Belly Skin,1,2001305
0,0,0,0,0,2001306,mt_n1_3_06,,1,1,0,0,2000,0,1,0,0,1,M,Caramel Tree Bark,1,2001306
0,0,0,0,0,2001307,mt_n1_3_07,,1,1,0,0,2000,0,1,0,0,1,M,Giant Octopus Sucker,1,2001307
0,0,0,0,0,2001308,mt_n1_3_08,,1,1,0,0,2000,0,1,0,0,1,M,Hermit Crab's Home,1,2001308
0,0,0,0,0,2001401,mt_n1_4_01,,1,1,0,0,4000,0,1,0,0,1,M,Amazing Sunflower Seed,1,2001401
0,0,0,0,0,2001402,mt_n1_4_02,,1,1,0,0,4000,0,1,0,0,1,M,Colorful Sugar Cobwebs,1,2001402
0,0,0,0,0,2001403,mt_n1_4_03,,1,1,0,0,4000,0,1,0,0,1,M,Golden Maple Syrup,1,2001403
0,0,0,0,0,2001404,mt_n1_4_04,,1,1,0,0,4000,0,1,0,0,1,M,Over-whipped Cream,1,2001404
0,0,0,0,0,2001405,mt_n1_4_05,,1,1,0,0,4000,0,1,0,0,1,M,Witch's Magical Kindling,1,2001405
0,0,0,0,0,2001406,mt_n1_4_06,,1,1,0,0,4000,0,1,0,0,1,M,Mixed Cotton Candy,1,2001406
0,0,0,0,0,2001407,mt_n1_4_07,,1,1,0,0,4000,0,1,0,0,1,M,High Density Sugar Crystal,1,2001407
0,0,0,0,0,2001408,mt_n1_4_08,,1,1,0,0,4000,0,1,0,0,1,M,Abyssal Fish Glass Fin,1,2001408
0,0,0,0,0,2001409,mt_n1_4_09,,1,1,0,0,4000,0,1,0,0,1,M,Red Chisel Chip,1,2001409
0,0,0,0,0,2001501,mt_n1_5_01,,1,1,0,0,8000,0,1,0,0,1,M,Queen Bee's Sweat,1,2001501
0,0,0,0,0,2001502,mt_n1_5_02,,1,1,0,0,8000,0,1,0,0,1,M,Golden Goose Liver,1,2001502
0,0,0,0,0,2001503,mt_n1_5_03,,1,1,0,0,8000,0,1,0,0,1,M,Ice Cream Glacier Snow,1,2001503
0,0,0,0,0,2001504,mt_n1_5_04,,1,1,0,0,8000,0,1,0,0,1,M,Caramel Sword Hilt,1,2001504
0,0,0,0,0,2002101,mt_n2_1_01,,1,1,0,0,500,0,1,0,0,1,M,Hardened Wax,1,2002101
0,0,0,0,0,2002102,mt_n2_1_02,,1,1,0,0,500,0,1,0,0,1,M,Burnt Ashes,1,2002102
0,0,0,0,0,2002201,mt_n2_2_01,,1,1,0,0,1000,0,1,0,0,1,M,Sticky Sundew,1,2002201
0,0,0,0,0,2002202,mt_n2_2_02,,1,1,0,0,1000,0,1,0,0,1,M,Chameleon Tongue,1,2002202
0,0,0,0,0,2002203,mt_n2_2_03,,1,1,0,0,1000,0,1,0,0,1,M,Chandelier Shard,1,2002203
0,0,0,0,0,2002204,mt_n2_2_04,,1,1,0,0,1000,0,1,0,0,1,M,Sweet Sugar Cane,1,2002204
0,0,0,0,0,2002205,mt_n2_2_05,,1,1,0,0,1000,0,1,0,0,1,M,Choco Dung Beetle Food,1,2002205
0,0,0,0,0,2002301,mt_n2_3_01,,1,1,0,0,2000,0,1,0,0,1,M,Green Tea Cliff Edge,1,2002301
0,0,0,0,0,2002302,mt_n2_3_02,,1,1,0,0,2000,0,1,0,0,1,M,Soul Shackle,1,2002302
0,0,0,0,0,2002303,mt_n2_3_03,,1,1,0,0,2000,0,1,0,0,1,M,Color Splashed Grapes,1,2002303
