image_file_name,image_plist_file_name,_key
crc_head_icon_ch01.png,crc_head_icon.plist,1
crc_head_icon_ch41.png,crc_head_icon.plist,10
crc_head_icon_ch43.png,crc_head_icon.plist,11
crc_head_icon_ch46.png,crc_head_icon.plist,12
crc_head_icon_ch49.png,crc_head_icon.plist,13
crc_head_icon_ch52.png,crc_head_icon.plist,14
crc_head_icon_ch58.png,crc_head_icon.plist,15
crc_head_icon_ch65.png,crc_head_icon.plist,16
crc_head_icon_ch68.png,crc_head_icon.plist,17
crc_head_icon_ch69.png,crc_head_icon.plist,18
crc_head_icon_ch70.png,crc_head_icon.plist,19
crc_head_icon_ch02.png,crc_head_icon.plist,2
crc_head_icon_ch71.png,crc_head_icon.plist,20
crc_head_icon_ch72.png,crc_head_icon.plist,21
crc_head_icon_ch75.png,crc_head_icon.plist,22
crc_head_icon_ch79.png,crc_head_icon.plist,23
crc_head_icon_ch80.png,crc_head_icon.plist,24
crc_head_icon_ch81.png,crc_head_icon.plist,25
crc_head_icon_ch82.png,crc_head_icon.plist,26
crc_head_icon_ch83.png,crc_head_icon.plist,27
crc_head_icon_ch85.png,crc_head_icon.plist,28
crc_head_icon_ch86.png,crc_head_icon.plist,29
crc_head_icon_ch12.png,crc_head_icon.plist,3
crc_head_icon_ch87.png,crc_head_icon.plist,30
crc_head_icon_ch13.png,crc_head_icon.plist,4
crc_head_icon_ch22.png,crc_head_icon.plist,5
crc_head_icon_ch23.png,crc_head_icon.plist,6
crc_head_icon_ch27.png,crc_head_icon.plist,7
crc_head_icon_ch35.png,crc_head_icon.plist,8
crc_head_icon_ch40.png,crc_head_icon.plist,9
