MysteryBoxAniName,MysteryBoxGrade,MysteryBoxOpenSoundName,ResKeyString,_key
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700111
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700112
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700113
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700114
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700121
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700122
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700123
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700124
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700131
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700132
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700133
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700134
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700211
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700212
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700213
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700214
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700221
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700222
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700223
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700224
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700231
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700232
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700233
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700234
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700311
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700312
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700313
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700314
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700321
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700322
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700323
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700324
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700331
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700332
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700333
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700334
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700411
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700412
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700413
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700414
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700421
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700422
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700423
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700424
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700431
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700432
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700433
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700434
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700511
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700512
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700513
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700514
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700521
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700522
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700523
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700524
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700531
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700532
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700533
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700534
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700611
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700612
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700613
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700614
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700621
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700622
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700623
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700624
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,700631
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,700632
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,700633
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,700634
bc_mysterybox2,C,MysteryBoxOpen_Normal,myBox_c,750111
bc_mysterybox1,B,MysteryBoxOpen_Normal,myBox_b,750112
bc_mysterybox0,A,MysteryBoxOpen_Good,myBox_a,750113
bc_mysterybox3,S,MysteryBoxOpen_Best,myBox_s,750114
