episode,stage,distance_start,distance_end,jelly_type,jelly_id,quantity,density,speed
epN06,1,1793,1794,Small Health,408,173,173.0,1000
epN06,1,1793,1794,Bonus Time,402,35,35.0,1000
epN06,1,1793,1794,ID_4215,4215,120,120.0,1000
epN06,1,1793,1794,ID_4234,4234,68,68.0,1000
epN06,1,1793,1794,Blast Jelly,403,10,10.0,1000
epN06,1,1793,1794,ID_4119,4119,8,8.0,1000
epN06,1,1805,1806,ID_4338,4338,155,155.0,1000
epN06,1,1805,1806,Blast Jelly,403,43,43.0,1000
epN06,1,1805,1806,Bear Party,407,43,43.0,1000
epN06,1,1805,1806,Magnet Jelly,405,43,43.0,1000
epN06,1,1805,1806,Giant Jelly,404,43,43.0,1000
epN06,1,1805,1806,Coin Party,406,43,43.0,1000
epN06,2,2049,2050,Small Health,408,173,173.0,1025
epN06,2,2049,2050,Bonus Time,402,35,35.0,1025
epN06,2,2049,2050,ID_4215,4215,120,120.0,1025
epN06,2,2049,2050,ID_4234,4234,68,68.0,1025
epN06,2,2049,2050,Blast Jelly,403,10,10.0,1025
epN06,2,2049,2050,ID_4119,4119,8,8.0,1025
epN06,3,2306,2307,Small Health,408,173,173.0,1050
epN06,3,2306,2307,Bonus Time,402,35,35.0,1050
epN06,3,2306,2307,ID_4215,4215,120,120.0,1050
epN06,3,2306,2307,ID_4234,4234,68,68.0,1050
epN06,3,2306,2307,Blast Jelly,403,10,10.0,1050
epN06,3,2306,2307,ID_4119,4119,8,8.0,1050
epN06,3,2326,2327,ID_4338,4338,155,155.0,1050
epN06,3,2326,2327,Blast Jelly,403,43,43.0,1050
epN06,3,2326,2327,Bear Party,407,43,43.0,1050
epN06,3,2326,2327,Magnet Jelly,405,43,43.0,1050
epN06,3,2326,2327,Giant Jelly,404,43,43.0,1050
epN06,3,2326,2327,Coin Party,406,43,43.0,1050
epN06,4,2561,2562,Small Health,408,173,173.0,1075
epN06,4,2561,2562,Bonus Time,402,35,35.0,1075
epN06,4,2561,2562,ID_4215,4215,120,120.0,1075
epN06,4,2561,2562,ID_4234,4234,68,68.0,1075
epN06,4,2561,2562,Blast Jelly,403,10,10.0,1075
epN06,4,2561,2562,ID_4119,4119,8,8.0,1075
epN06,5,2818,2819,Small Health,408,173,173.0,1100
epN06,5,2818,2819,Bonus Time,402,35,35.0,1100
epN06,5,2818,2819,ID_4215,4215,120,120.0,1100
epN06,5,2818,2819,ID_4234,4234,68,68.0,1100
epN06,5,2818,2819,Blast Jelly,403,10,10.0,1100
epN06,5,2818,2819,ID_4119,4119,8,8.0,1100
epN06,5,2841,2842,ID_4338,4338,155,155.0,1100
epN06,5,2841,2842,Blast Jelly,403,43,43.0,1100
epN06,5,2841,2842,Bear Party,407,43,43.0,1100
epN06,5,2841,2842,Magnet Jelly,405,43,43.0,1100
epN06,5,2841,2842,Giant Jelly,404,43,43.0,1100
epN06,5,2841,2842,Coin Party,406,43,43.0,1100
epN06,6,3073,3074,Small Health,408,173,173.0,1125
epN06,6,3073,3074,Bonus Time,402,35,35.0,1125
epN06,6,3073,3074,ID_4215,4215,120,120.0,1125
epN06,6,3073,3074,ID_4234,4234,68,68.0,1125
epN06,6,3073,3074,Blast Jelly,403,10,10.0,1125
epN06,6,3073,3074,ID_4119,4119,8,8.0,1125
epN06,6,3103,3104,ID_4338,4338,155,155.0,1125
epN06,6,3103,3104,Blast Jelly,403,43,43.0,1125
epN06,6,3103,3104,Bear Party,407,43,43.0,1125
epN06,6,3103,3104,Magnet Jelly,405,43,43.0,1125
epN06,6,3103,3104,Giant Jelly,404,43,43.0,1125
epN06,6,3103,3104,Coin Party,406,43,43.0,1125
epN06,7,3329,3330,Small Health,408,173,173.0,1200
epN06,7,3329,3330,Bonus Time,402,35,35.0,1200
epN06,7,3329,3330,ID_4215,4215,120,120.0,1200
epN06,7,3329,3330,ID_4234,4234,68,68.0,1200
epN06,7,3329,3330,Blast Jelly,403,10,10.0,1200
epN06,7,3329,3330,ID_4119,4119,8,8.0,1200
epN06,7,3359,3360,ID_4338,4338,155,155.0,1200
epN06,7,3359,3360,Blast Jelly,403,43,43.0,1200
epN06,7,3359,3360,Bear Party,407,43,43.0,1200
epN06,7,3359,3360,Magnet Jelly,405,43,43.0,1200
epN06,7,3359,3360,Giant Jelly,404,43,43.0,1200
epN06,7,3359,3360,Coin Party,406,43,43.0,1200
epN06,8,3585,3586,Small Health,408,173,173.0,1225
epN06,8,3585,3586,Bonus Time,402,35,35.0,1225
epN06,8,3585,3586,ID_4215,4215,120,120.0,1225
epN06,8,3585,3586,ID_4234,4234,68,68.0,1225
epN06,8,3585,3586,Blast Jelly,403,10,10.0,1225
epN06,8,3585,3586,ID_4119,4119,8,8.0,1225
epN06,8,3625,3626,ID_4338,4338,155,155.0,1225
epN06,8,3625,3626,Blast Jelly,403,43,43.0,1225
epN06,8,3625,3626,Bear Party,407,43,43.0,1225
epN06,8,3625,3626,Magnet Jelly,405,43,43.0,1225
epN06,8,3625,3626,Giant Jelly,404,43,43.0,1225
epN06,8,3625,3626,Coin Party,406,43,43.0,1225
epN06,9,3841,3842,Small Health,408,173,173.0,1100
epN06,9,3841,3842,Bonus Time,402,35,35.0,1100
epN06,9,3841,3842,ID_4215,4215,120,120.0,1100
epN06,9,3841,3842,ID_4234,4234,68,68.0,1100
epN06,9,3841,3842,Blast Jelly,403,10,10.0,1100
epN06,9,3841,3842,ID_4119,4119,8,8.0,1100
